9940   Overlord Leg
WP_A_2210   Twin Dragon Greatshield [Normal]
WP_A_2211   Greatshield of Glory [Unique]
WP_A_2212   Curse Ward Greatshield [Boss]
WP_A_2213   Bonewheel Shield [Normal]
WP_A_2214   Stone Greatshield [Normal]
   
WP_A_2299   ### Tools ###
WP_A_2300   Torch
WP_A_2301   Follower Torch
   
WP_A_3000   ### Custom ###
WP_A_3001   Firelink Dagger [Boss]
WP_A_3002   Firelink Spear [Boss]
WP_A_3003   Firelink Sword [Boss]
WP_A_3004   Firelink Rapier [Boss]
WP_A_3005   Greatwood Club [Boss]
WP_A_3006   Irithyll Lance [Unique]
WP_A_3007   Fume Sword [Unique]
WP_A_3008   Machete [Normal]
WP_A_3009   Demon's Axe [Boss]
WP_A_3010   Abyssal Greatsword [Unique]
WP_A_3011   Moonlight Sword [Boss]
WP_A_3013   Pontiff Knight Greatsword [Unique]
WP_A_3014   Demon's Great Hammer [Boss]
WP_A_3015   Tailbone Sword [Dragon]
WP_A_3016   Yorshka's Hammer [Unique]
WP_A_3017   Dragon's Grasp [Dragon]
WP_A_3018   Irithyll Pick [Unique]
WP_A_3019   Tailbone Pick [Dragon]
WP_A_3020   Tailbone Club [Dragon]
WP_A_3021   Archdeacon's Bident [Boss]
WP_A_3022   Irithyll Mace [Unique]
WP_A_3023   Hammer of Carim [Unique]
WP_A_3024   Wooden Mallet [Normal]
   
WP_A_6390   ### Debug ###
WP_A_6399   [Debug] Arrow
WP_A_6700   [Debug] Bolt
WP_A_9004   [Debug] Daggers
WP_A_9005   [Debug] Twinswords
WP_A_9006   [Debug] Shield
WP_A_1000   No Correction
WP_A_1100   Throwing Knife
WP_A_1200   Church Guardian Shiv
WP_A_1300   Poison Throwing Knife
WP_A_1400   Firebomb
WP_A_1500   Lightning Urn
WP_A_1600   TestData4
WP_A_1700   Black Firebomb
WP_A_1800   Dung Pie
WP_A_1900   Twinkling Dragon Head Stone
WP_A_2000   Twinkling Dragon Torso Stone
WP_A_2100   Spear Fragment
   
WP_A_3900   ### Arrows ###
WP_A_4000   Standard Arrow
WP_A_4001   Fire Arrow
WP_A_4002   Poison Arrow
WP_A_4003   Large Arrow
WP_A_4004   Feather Arrow
WP_A_4005   Moonlight Arrow
WP_A_4006   Wood Arrow
WP_A_4007   Dark Arrow
   
WP_A_4019   ### Greatarrows ###
WP_A_4020   Dragonslayer Greatarrow
WP_A_4022   Dragonslayer Lightning Arrow
WP_A_4023   Onislayer Greatarrow
WP_A_4024   Millwood Greatarrow
   
WP_A_4030   ### Bolts ###
WP_A_4040   Standard Bolt
WP_A_4041   Heavy Bolt
WP_A_4042   Sniper Bolt
WP_A_4043   Wood Bolt
WP_A_4044   Lightning Bolt
WP_A_4045   Splintering Bolt
WP_A_4046   Exploding Bolt
   
WP_A_4098   ### Test Data ###
WP_A_4099   TestData Bolt1
WP_A_4199   TestData Bolt2
WP_A_8000   Test Greatbow
WP_A_8900   Test-Glow
WP_A_9300   Ghost Dagger
WP_A_9301   Ghost Sword
WP_A_9302   Ghost Longsword
WP_A_9303   Ghost Ultralongsword
WP_A_9304   Ghost Rapier
WP_A_9305   Ghost Curved Sword
WP_A_9306   Ghost Saber
WP_A_9307   Ghost Katana
WP_A_9308   Ghost Curved Greatsword
WP_A_9309   Ghost Axe
WP_A_9310   Ghost Greataxe
WP_A_9311   Ghost Club
WP_A_9312   Ghost Greatclub
WP_A_9313   Ghost Spear
WP_A_9314   Ghost Halberd
WP_A_9315   Ghost Scythe
WP_A_9316   Ghost Staff
WP_A_9317   Ghost Chime
WP_A_9318   Ghost Pyrohand
WP_A_9319   Ghost Whip
WP_A_9320   Ghost Bow
WP_A_9321   Ghost Greatbow
WP_A_9322   Ghost Arbalet
WP_A_9323   Ghost Fist
WP_A_9324   Ghost Caestus
WP_A_9325   Ghost Claw
WP_A_9326   Ghost PairedCurvedSwords
WP_A_9327   Ghost PairedAxes
WP_A_9328   Ghost PairedDaggers
WP_A_9329   Ghost PairedLongSwords
WP_A_9330   Ghost PairedKatanas
WP_A_9331   Ghost PairedSpears
WP_A_9332   Ghost DemonFist
WP_A_9333   Ghost Claw
WP_A_9334   Ghost PairedMace
WP_A_9336   Ghost SmallShield
WP_A_9337   Ghost Shield
WP_A_9338   Ghost GreatShield
WP_A_9339   Ghost Torch
